"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12256","Taboo > Logged In Customer > Checkout page > Pay Modal > Cvv Field > Invalid Number","Taboo-project","Mon Jun 23 11:14:54 UTC 2025","passed","Mon Jun 23 11:15:07 UTC 2025","Purchase Tests Validations","purchase/purchaseTests.spec.js","",""
"","8250","Taboo > Contact us > Empty Message Validation","Taboo-project","Mon Jun 23 11:12:40 UTC 2025","passed","Mon Jun 23 11:12:48 UTC 2025","Contact Us Tests","contact-us/contact-usTests.spec.js","",""
"","9548","Taboo > Logged In Customer > Checkout page > Pay Modal > Empty Fields Validation","Taboo-project","Mon Jun 23 11:14:29 UTC 2025","passed","Mon Jun 23 11:14:39 UTC 2025","Purchase Tests Validations","purchase/purchaseTests.spec.js","",""
"","16924","Taboo > Logged In Customer > Checkout page > Secret Coins > Purchase Package","Taboo-project","Mon Jun 23 11:13:49 UTC 2025","passed","Mon Jun 23 11:14:06 UTC 2025","Purchase Tests","purchase/purchaseTests.spec.js","",""
"","8510","Taboo > Contact us > Send message to support","Taboo-project","Mon Jun 23 11:12:21 UTC 2025","passed","Mon Jun 23 11:12:29 UTC 2025","Contact Us Tests","contact-us/contact-usTests.spec.js","",""
"","6491","Taboo > My Profile > Edit profile > All fields are Disabled by default","Taboo-project","Mon Jun 23 11:12:55 UTC 2025","passed","Mon Jun 23 11:13:01 UTC 2025","My Profile Tests","my-profile/profileTests.spec.js","",""
"","11158","Taboo > My Profile > Edit profile > Edit First Name","Taboo-project","Mon Jun 23 11:13:07 UTC 2025","passed","Mon Jun 23 11:13:18 UTC 2025","My Profile Tests","my-profile/profileTests.spec.js","",""
"","4624","Taboo > Lobby > Category > Click on New Releases Category","Taboo-project","Mon Jun 23 11:12:59 UTC 2025","passed","Mon Jun 23 11:13:03 UTC 2025","Taboo > Lobby > Lobby Tests","lobby/lobbyTests.spec.js","",""
"","3362","Empty Fields Validation","Taboo-project","Mon Jun 23 11:13:44 UTC 2025","passed","Mon Jun 23 11:13:47 UTC 2025","Taboo > Register Widget > Validations Tests","register/registerTests.spec.js","",""
"","4366","Taboo > Lobby > Category > Click on Hot Category","Taboo-project","Mon Jun 23 11:13:03 UTC 2025","passed","Mon Jun 23 11:13:08 UTC 2025","Taboo > Lobby > Lobby Tests","lobby/lobbyTests.spec.js","",""
"","4015","Taboo > Not logged in customer > Fotter > Click on RG","Taboo-project","Mon Jun 23 11:12:46 UTC 2025","passed","Mon Jun 23 11:12:50 UTC 2025","Taboo > Lobby > Lobby Tests","lobby/lobbyTests.spec.js","",""
"","5449","Taboo > Not logged in customer > Fotter > Click on Terms Of Service","Taboo-project","Mon Jun 23 11:12:21 UTC 2025","passed","Mon Jun 23 11:12:26 UTC 2025","Taboo > Lobby > Lobby Tests","lobby/lobbyTests.spec.js","",""
"","6176","Taboo > Lobby > Search > Click and Search gmae","Taboo-project","Mon Jun 23 11:13:08 UTC 2025","passed","Mon Jun 23 11:13:14 UTC 2025","Taboo > Lobby > Lobby Tests","lobby/lobbyTests.spec.js","",""
"","3448","Taboo > Logged In Customer > Customer Menu > Open Store Widget via Buy Icon","Taboo-project","Mon Jun 23 11:14:26 UTC 2025","passed","Mon Jun 23 11:14:29 UTC 2025","Purchase Tests","purchase/purchaseTests.spec.js","",""
"","10603","Taboo > Logged In Customer > Checkout page > Pay Modal > Card Number > Invalid Number","Taboo-project","Mon Jun 23 11:14:44 UTC 2025","passed","Mon Jun 23 11:14:54 UTC 2025","Purchase Tests Validations","purchase/purchaseTests.spec.js","",""
"","7975","Password Field - UnMatched Password Validation","Taboo-project","Mon Jun 23 11:14:03 UTC 2025","passed","Mon Jun 23 11:14:11 UTC 2025","Taboo > Register Widget > Validations Tests","register/registerTests.spec.js","",""
"","8410","Taboo > Funds History Widget > Open and Verify History","Taboo-project","Mon Jun 23 11:12:38 UTC 2025","passed","Mon Jun 23 11:12:47 UTC 2025","Funds History Tests","funds-history/fundsHistoryTests.spec.js","",""
