"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7292","Taboo > Logged in Customer > Logout Process","Taboo-project","Fri Jun 06 11:12:04 UTC 2025","passed","Fri Jun 06 11:12:12 UTC 2025","Taboo > Login Widget Tests","login/loginTests.spec.js","",""
"","4922","Taboo > Login Widget > Wrong Credentials > Wrong Credentials Error Validation","Taboo-project","Fri Jun 06 11:12:15 UTC 2025","passed","Fri Jun 06 11:12:20 UTC 2025","Taboo > Login Widget >  Validations Tests","login/loginTests.spec.js","",""
"","3927","Empty Fields Validation","Taboo-project","Fri Jun 06 11:13:07 UTC 2025","passed","Fri Jun 06 11:13:11 UTC 2025","Taboo > Register Widget > Validations Tests","register/registerTests.spec.js","",""
"","37591","Taboo > Lobby > Click on Game > Test Launch game > Majestic White Rhino","Taboo-project","Fri Jun 06 11:11:00 UTC 2025","passed","Fri Jun 06 11:11:38 UTC 2025","Launch Game Tests","game/gameTests.spec.js","",""
"","2758","Taboo > Not logged in customer > Fotter > Click on Invite Friends","Taboo-project","Fri Jun 06 11:11:33 UTC 2025","passed","Fri Jun 06 11:11:36 UTC 2025","Taboo > Lobby > Footer Pages Tests","lobby/lobbyTests.spec.js","",""
"","7301","Password Field - Missing Number Validation","Taboo-project","Fri Jun 06 11:13:19 UTC 2025","passed","Fri Jun 06 11:13:26 UTC 2025","Taboo > Register Widget > Validations Tests","register/registerTests.spec.js","",""
"","5076","Taboo > Login Widget > Password Field > Special Char Validation","Taboo-project","Fri Jun 06 11:12:20 UTC 2025","passed","Fri Jun 06 11:12:25 UTC 2025","Taboo > Login Widget >  Validations Tests","login/loginTests.spec.js","",""
"","6053","Taboo > Logged In Customer > Checkout page > Add Coupon Code","Taboo-project","Fri Jun 06 11:12:51 UTC 2025","passed","Fri Jun 06 11:12:57 UTC 2025","Purchase Tests","purchase/purchaseTests.spec.js","",""
"","7635","Duplicate Email Validation","Taboo-project","Fri Jun 06 11:13:34 UTC 2025","passed","Fri Jun 06 11:13:41 UTC 2025","Taboo > Register Widget > Validations Tests","register/registerTests.spec.js","",""
"","8410","Taboo > Login Widgets > Customer Login via Game Image","Taboo-project","Fri Jun 06 11:11:48 UTC 2025","passed","Fri Jun 06 11:11:56 UTC 2025","Taboo > Login Widget Tests","login/loginTests.spec.js","",""
"","3155","Taboo > Logged In Customer > Change Coins From Gold To Secret Coins","Taboo-project","Fri Jun 06 11:12:30 UTC 2025","passed","Fri Jun 06 11:12:33 UTC 2025","Purchase Tests","purchase/purchaseTests.spec.js","",""
"","5955","Taboo > Login Widgets > Valid Login Process","Taboo-project","Fri Jun 06 11:11:42 UTC 2025","passed","Fri Jun 06 11:11:48 UTC 2025","Taboo > Login Widget Tests","login/loginTests.spec.js","",""
"","12864","Taboo > Register Widget > Valid Register Process","Taboo-project","Fri Jun 06 11:12:39 UTC 2025","passed","Fri Jun 06 11:12:52 UTC 2025","Taboo > Register Widget Tests","register/registerTests.spec.js","",""
"","2849","Taboo > Not logged in customer > Fotter > Click on Sweep Policy","Taboo-project","Fri Jun 06 11:11:30 UTC 2025","passed","Fri Jun 06 11:11:33 UTC 2025","Taboo > Lobby > Footer Pages Tests","lobby/lobbyTests.spec.js","",""
"","2646","Taboo > Not logged in customer > Fotter > Click on Terms Of Service","Taboo-project","Fri Jun 06 11:11:27 UTC 2025","passed","Fri Jun 06 11:11:30 UTC 2025","Taboo > Lobby > Footer Pages Tests","lobby/lobbyTests.spec.js","",""
"","6054","Taboo > Contact us > Send message to support","Taboo-project","Fri Jun 06 11:11:00 UTC 2025","passed","Fri Jun 06 11:11:06 UTC 2025","Contact Us Tests","contact-us/contact-usTests.spec.js","",""
"","7104","Taboo > Contact us > My Profile Widget > Send message to support via My Profile Widget","Taboo-project","Fri Jun 06 11:11:20 UTC 2025","passed","Fri Jun 06 11:11:27 UTC 2025","Contact Us Tests","contact-us/contact-usTests.spec.js","",""
